,type,startTime,endTime,latitude,longitude,description
0,Moving,2024-08-08 02:02:00+00:00,,40.745208,-73.957476,
1,Moving,2024-08-08 02:09:00+00:00,,40.738605,-73.960856,
2,Moving,2024-08-08 02:11:00+00:00,,40.745193,-73.970828,
3,Moving,2024-08-08 02:12:00+00:00,,40.744352,-73.958405,
4,Moving,2024-08-08 02:15:00+00:00,,40.74576,-73.957229,
5,Moving,2024-08-08 02:22:00+00:00,,40.745186,-73.957357,
6,Moving,2024-08-08 02:24:00+00:00,,40.746577,-73.954495,
7,Moving,2024-08-08 02:28:00+00:00,,40.7453,-73.94833,
8,Moving,2024-08-08 02:32:00+00:00,,40.751024,-73.945694,
9,Moving,2024-08-08 02:38:00+00:00,,40.75542,-73.951596,
10,Moving,2024-08-08 02:42:00+00:00,,40.757506,-73.955459,
11,Moving,2024-08-08 02:48:00+00:00,,40.745592,-73.951963,
12,Moving,2024-08-08 02:49:00+00:00,,40.747284,-73.954751,
13,Moving,2024-08-08 02:51:00+00:00,,40.744489,-73.956011,
14,Moving,2024-08-08 02:59:00+00:00,,40.744178,-73.958939,
15,Moving,2024-08-08 03:11:00+00:00,,40.745821,-73.957487,
16,Visit,2024-08-08 02:14:32+00:00,2024-08-08 02:22:11+00:00,40.745821,-73.957487,ChIJDzOW1CNZwokRBN-ndgaisic
17,Visit,2024-08-08 03:10:59+00:00,2024-08-08 10:50:51+00:00,40.745821,-73.957487,ChIJDzOW1CNZwokRBN-ndgaisic
18,Moving,2024-08-08 10:51:00+00:00,,40.745744,-73.95714,
19,Moving,2024-08-08 10:52:00+00:00,,40.743955,-73.956211,
20,Moving,2024-08-08 10:52:00+00:00,,40.743225,-73.95395,
21,Moving,2024-08-08 10:55:00+00:00,,40.740991,-73.953125,
22,Moving,2024-08-08 10:56:00+00:00,,40.741131,-73.947331,
23,Moving,2024-08-08 10:59:00+00:00,,40.725715,-73.899949,
24,Moving,2024-08-08 11:00:00+00:00,,40.725936,-73.890402,
25,Moving,2024-08-08 11:04:00+00:00,,40.738361,-73.845877,
26,Moving,2024-08-08 11:06:00+00:00,,40.7191,-73.833214,
27,Moving,2024-08-08 11:08:00+00:00,,40.714472,-73.825094,
28,Moving,2024-08-08 11:14:00+00:00,,40.705853,-73.818075,
29,Moving,2024-08-08 11:19:00+00:00,,40.670968,-73.801211,
30,Moving,2024-08-08 11:20:00+00:00,,40.664848,-73.802317,
31,Moving,2024-08-08 11:21:00+00:00,,40.659307,-73.806704,
32,Moving,2024-08-08 11:21:00+00:00,,40.652189,-73.806264,
33,Moving,2024-08-08 11:27:00+00:00,,40.645612,-73.80006,
34,Moving,2024-08-08 11:30:00+00:00,,40.644597,-73.796022,
35,Moving,2024-08-08 11:32:00+00:00,,40.644612,-73.786806,
36,Moving,2024-08-08 11:34:00+00:00,,40.643159,-73.784894,
37,Moving,2024-08-08 11:35:00+00:00,,40.643375,-73.784473,
38,Moving,2024-08-08 11:42:00+00:00,,40.643711,-73.781799,
39,Moving,2024-08-08 11:47:00+00:00,,40.643711,-73.781799,
40,Visit,2024-08-08 11:34:33+00:00,2024-08-08 11:47:23+00:00,40.643711,-73.781799,ChIJR0lA1VBmwokR8BGfSBOyT-w
41,Moving,2024-08-08 12:07:00+00:00,,40.638041,-73.781064,
42,Moving,2024-08-08 17:30:00+00:00,,39.853981,-104.674634,
43,Moving,2024-08-08 17:35:00+00:00,,39.849329,-104.673797,
44,Visit,2024-08-08 17:34:55+00:00,2024-08-08 18:10:17+00:00,39.849329,-104.673797,ChIJ_0T_mCp_bIcRapy1NbQ7WEk
45,Moving,2024-08-08 18:10:00+00:00,,39.849285,-104.675501,
46,Moving,2024-08-08 18:13:00+00:00,,39.853317,-104.675665,
47,Moving,2024-08-08 18:14:00+00:00,,39.839319,-104.676123,
48,Moving,2024-08-08 18:14:00+00:00,,39.837338,-104.67779,
49,Moving,2024-08-08 18:15:00+00:00,,39.834188,-104.683647,
50,Moving,2024-08-08 18:19:00+00:00,,39.837409,-104.688744,
51,Moving,2024-08-08 18:22:00+00:00,,39.836294,-104.689607,
52,Moving,2024-08-08 19:28:00+00:00,,39.837753,-104.68851,
53,Moving,2024-08-08 19:30:00+00:00,,39.838223,-104.714134,
54,Moving,2024-08-08 19:32:00+00:00,,39.834686,-104.737582,
55,Moving,2024-08-08 19:32:00+00:00,,39.84058,-104.746493,
56,Moving,2024-08-08 19:34:00+00:00,,39.862842,-104.750681,
57,Moving,2024-08-08 19:35:00+00:00,,39.884826,-104.761804,
58,Moving,2024-08-08 19:36:00+00:00,,39.89613,-104.761664,
59,Moving,2024-08-08 19:37:00+00:00,,39.905502,-104.769179,
60,Moving,2024-08-08 19:37:00+00:00,,39.912041,-104.77966,
61,Moving,2024-08-08 19:38:00+00:00,,39.91412,-104.7809,
62,Moving,2024-08-08 19:43:00+00:00,,39.914327,-104.818579,
63,Moving,2024-08-08 19:47:00+00:00,,39.880975,-104.881797,
64,Moving,2024-08-08 19:48:00+00:00,,39.880339,-104.889541,
65,Moving,2024-08-08 19:52:00+00:00,,39.827535,-104.946119,
66,Moving,2024-08-08 19:53:00+00:00,,39.821393,-104.976338,
67,Moving,2024-08-08 19:56:00+00:00,,39.799727,-105.030196,
68,Moving,2024-08-08 19:57:00+00:00,,39.795025,-105.05696,
69,Moving,2024-08-08 19:58:00+00:00,,39.788492,-105.067896,
70,Moving,2024-08-08 19:59:00+00:00,,39.787552,-105.078762,
