,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,start,end,description,type,location,latitude,longitude
0,0,0,0,0,0,0,January 4 Leave Buenos Aires,,1/4/1952,Leave Buenos Aires,BIKE,Buenos Aires,-34.6095579,-58.3887904
1,1,1,1,1,1,1,January 6 Villa Gesell,,1/6/1952,Villa Gesell,BIKE,Villa Gesell,-37.2556627,-56.9679411
2,2,2,2,2,2,2,January 13 Miramar,,1/13/1952,Miramar,BIKE,Miramar Argentina,-38.2704349,-57.8387997
3,3,3,3,3,3,3,January 14 Necochea,,1/14/1952,Necochea,BIKE,Necochea,-38.5545494,-58.7392624
4,4,4,4,4,4,4,January 16–21 Bahía Blanca,1/16/1952,1/21/1952,Bahía Blanca,BIKE,Bahía Blanca,-38.7176522,-62.2654871
5,5,5,5,5,5,5,January 25 Choele Choel,,1/25/1952,Choele Choel,BIKE,Choele Choel,-39.2932355,-65.6615828
6,6,6,6,6,6,6,January 29 Piedra del Águila,,1/29/1952,Piedra del Águila,BIKE,Piedra del Águila,-40.1891728,-69.9914306
7,7,7,7,7,7,7,January 31 San Martín de los Andes,,1/31/1952,San Martín de los Andes,BIKE,San Martín de los Andes,-40.1568791,-71.3525588
8,8,8,8,8,8,8,February 8 Nahuel Huapí,,2/8/1952,Nahuel Huapí,BIKE,Nahuel Huapi Lake,-40.9202837,-71.520956
9,9,9,9,9,9,9,February 11 San Carlos de Bariloche,,2/11/1952,San Carlos de Bariloche,BIKE,San Carlos de Bariloche,-41.1334781,-71.3101474
10,10,10,10,10,10,10,February 14 Take the Modesta Victoria to Peulla,,2/14/1952,Take the Modesta Victoria to Peulla,BOAT,,,
11,11,11,11,11,11,11,February 18 Temuco,,2/18/1952,Temuco,BIKE,Temuco,-38.7358908,-72.590538
12,12,12,12,12,12,12,February 21 Lautaro,,2/21/1952,Lautaro,BIKE,Lautaro,-38.534312,-72.4350504
13,13,13,13,13,13,13,February 27 Los Ángeles,,2/27/1952,Los Ángeles,BIKE,"Los Ángeles, Chile",-37.4707455,-72.351686
14,14,14,14,14,14,14,March 1 Santiago de Chile,,3/1/1952,Santiago de Chile,BIKE,Santiago de Chile,-33.4376995,-70.6510671
15,15,15,15,15,15,15,March 7 Valparaíso,,3/7/1952,Valparaíso,BIKE,Valparaíso,-33.0458456,-71.6196749
